year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany
2019,Wiesbaden,38152,144271,119,393,108,0.2235,0
2020,Berlin,361831,2076728,3178,29408,174.39,0.3703,0
2020,Bonn,57065,171860,164,1064,131.63,0.472,0
2020,Chemnitz,34387,172254,171,410,81.15,0.25,1
2020,Dortmund,97269,321959,416,1636,118.19,0.6583,0
2020,Dresden,59221,308378,345,2786,168.83,0.6,1
2020,Duisburg,82969,269230,185,434,115.11,0.6479,0
2020,Düsseldorf,217970,651537,3879,11958,157.38,0.5091,0
2020,Erfurt,28558,118976,122,301,175.36,NA,NA
2020,Frankfurt,80085,390828,390,3465,171.42,0.4497,0
2020,Hamburg,258315,957181,1624,10640,175.85,0.535,0
2020,Karlsruhe,639951,1425510,4748,11223,158.71,0.2478,0
2020,Köln,312167,909118,4878,13933,162.85,0.7003,0
2020,Lübeck,43485,121693,264,910,140.28,0.1959,0
2020,Münster,180169,380732,4105,10085,155.74,0.3931,0
2020,Potsdam,43679,126456,771,1529,186.92,0.2,1
2020,Stuttgart,919850,2049440,5154,13636,180.6,0.2979,0
2020,Wiesbaden,38271,144664,232,743,115.8,0.2235,0
2021,Berlin,365009,2106136,3736,28268,200.74,0.3703,0
2021,Bonn,57229,172924,126,1185,140.58,0.472,0
